Date,Open,High,Low,Close,Volume,Adj Close
2007-12-14,60.5,60.5,60.5,60.5,0,60.5
2008-01-11,51.3,51.3,51.3,51.3,100,51.3
2008-01-14,47.9,47.9,47.9,47.9,100,47.9
2008-01-15,50.69,50.69,50.69,50.69,100,50.69
2008-01-16,40.0,40.0,40.0,40.0,0,40.0
2008-01-17,44.61,44.61,44.61,44.61,300,44.61
2008-01-22,40.99,40.99,40.99,40.99,200,40.99
2008-01-25,45.0,45.0,45.0,45.0,0,45.0
2008-01-30,49.71,49.71,49.71,49.71,0,49.71
2008-01-31,46.0,46.0,46.0,46.0,0,46.0
2008-02-13,53.3,53.3,53.3,53.3,0,53.3
2008-02-15,51.5,51.5,51.5,51.5,0,51.5
2008-02-19,53.3,53.3,53.3,53.3,100,53.3
2008-02-26,56.1,56.1,56.1,56.1,0,56.1
2008-03-13,50.45,50.45,50.45,50.45,0,50.45
2008-04-03,44.05,44.05,44.05,44.05,0,44.05
2008-04-07,49.18,49.18,49.18,49.18,0,49.18
2008-04-22,48.23,48.23,48.23,48.23,100,48.23
2008-04-30,43.68,43.68,43.68,43.68,100,43.68
2008-05-21,44.2,44.2,44.2,44.2,2100,44.2
2008-06-11,40.36,40.36,40.36,40.36,0,40.36
2008-06-13,39.59,39.59,39.59,39.59,200,39.59
2008-07-02,37.4,37.4,37.4,37.4,0,37.4
2008-07-08,32.0,32.0,32.0,32.0,0,32.0
2008-07-18,31.92,31.92,31.92,31.92,0,31.92
2008-08-18,34.32,34.32,34.32,34.32,0,34.32
2008-08-28,33.3,33.3,33.3,33.3,0,33.3
2008-10-23,16.78,16.78,16.78,16.78,0,16.78
2008-10-24,16.78,16.78,16.78,16.78,0,16.78
2008-11-03,15.5,15.5,15.5,15.5,100,15.5
2008-11-11,14.0,14.0,14.0,14.0,200,14.0
2008-11-20,9.88,9.88,9.88,9.88,0,9.88
2009-11-16,8.41,8.41,8.41,8.41,200,8.41
2009-12-07,8.15,8.15,8.15,8.15,0,8.15
2010-01-14,10.295,10.295,10.295,10.295,1000,10.295
2010-01-22,10.24,10.24,10.24,10.24,200,10.24
2010-02-05,8.899,8.899,8.899,8.899,1100,8.899
2010-02-24,9.2,9.2,9.2,9.2,1100,9.2
2010-03-15,10.04,10.04,10.04,10.04,500,10.04
2010-03-19,10.845,10.845,10.845,10.845,100,10.845
2010-04-06,11.58,11.58,11.58,11.58,400,11.58
2010-04-30,11.02,11.02,11.02,11.02,200,11.02
2010-05-03,9.75,9.75,9.75,9.75,1100,9.75
2010-05-07,9.85,9.85,9.85,9.85,0,9.85
2010-05-18,10.0,10.0,10.0,10.0,0,10.0
2010-05-26,8.2,8.2,8.2,8.2,0,8.2
2010-06-08,8.7,8.7,8.7,8.7,200,8.7
2010-06-11,8.29,8.29,8.29,8.29,0,8.29
2010-06-17,9.7,9.7,9.7,9.7,300,9.7
2010-08-05,7.02,7.02,7.02,7.02,0,7.02
2010-08-10,8.0,8.0,8.0,8.0,200,8.0
2010-08-16,8.45,8.45,8.45,8.45,100,8.45
2010-08-24,8.05,8.05,8.05,8.05,0,8.05
2010-08-25,8.25,8.25,8.25,8.25,100,8.25
2010-08-26,8.05,8.05,8.05,8.05,200,8.05
2010-09-07,8.0,8.0,8.0,8.0,0,8.0
2010-09-20,8.39,8.39,8.39,8.39,0,8.39
2010-09-27,8.53,8.53,8.53,8.53,300,8.53
2010-10-11,9.2,9.2,9.2,9.2,100,9.2
2010-10-12,9.45,9.45,9.45,9.45,0,9.45
2010-10-13,9.0,9.0,9.0,9.0,0,9.0
2010-11-02,9.1,9.1,9.1,9.1,300,9.1
2010-11-15,9.0,9.0,9.0,9.0,0,9.0
2010-11-17,9.0,9.0,9.0,9.0,0,9.0
2010-11-18,8.271,8.271,8.271,8.271,0,8.271
2010-12-20,8.67,8.67,8.67,8.67,500,8.67
2011-01-07,8.7,8.7,8.7,8.7,0,8.7
2011-01-13,9.33,9.33,9.33,9.33,200,9.33
2011-02-02,8.8,8.8,8.8,8.8,100,8.8
2011-02-07,10.0,10.0,10.0,10.0,500,10.0
2011-04-18,8.15,8.15,8.15,8.15,0,8.15
2011-05-04,7.3,7.3,7.3,7.3,300,7.3
2011-05-17,7.3,7.3,7.3,7.3,0,7.3
2011-11-17,7.3,7.3,7.3,7.3,0,7.3
2011-11-18,7.3,7.3,7.3,7.3,0,7.3
2011-11-21,7.3,7.3,7.3,7.3,0,7.3
2011-11-22,7.3,7.3,7.3,7.3,0,7.3
2011-11-23,7.3,7.3,7.3,7.3,0,7.3
2011-11-24,7.3,7.3,7.3,7.3,0,7.3
2011-11-25,7.3,7.3,7.3,7.3,0,7.3
2011-11-28,7.3,7.3,7.3,7.3,0,7.3
2011-11-29,7.3,7.3,7.3,7.3,0,7.3
2011-11-30,7.3,7.3,7.3,7.3,0,7.3
2011-12-01,7.3,7.3,7.3,7.3,0,7.3
2011-12-02,7.3,7.3,7.3,7.3,0,7.3
2011-12-05,7.3,7.3,7.3,7.3,0,7.3
2011-12-06,7.3,7.3,7.3,7.3,0,7.3
2011-12-07,7.3,7.3,7.3,7.3,0,7.3
2011-12-08,7.3,7.3,7.3,7.3,0,7.3
2011-12-09,7.3,7.3,7.3,7.3,0,7.3
2011-12-12,7.3,7.3,7.3,7.3,0,7.3
2011-12-13,7.3,7.3,7.3,7.3,0,7.3
2011-12-14,7.3,7.3,7.3,7.3,0,7.3
2011-12-15,7.3,7.3,7.3,7.3,0,7.3
2011-12-16,7.3,7.3,7.3,7.3,0,7.3
2011-12-19,7.3,7.3,7.3,7.3,0,7.3
2011-12-20,7.3,7.3,7.3,7.3,0,7.3
2011-12-21,7.3,7.3,7.3,7.3,0,7.3
2011-12-22,7.3,7.3,7.3,7.3,0,7.3
2011-12-23,7.3,7.3,7.3,7.3,0,7.3
2011-12-26,7.3,7.3,7.3,7.3,0,7.3
2011-12-27,7.3,7.3,7.3,7.3,0,7.3
2011-12-28,7.3,7.3,7.3,7.3,0,7.3
2011-12-29,7.3,7.3,7.3,7.3,0,7.3
2011-12-30,7.3,7.3,7.3,7.3,0,7.3
2012-01-02,7.3,7.3,7.3,7.3,0,7.3
2012-01-03,7.3,7.3,7.3,7.3,0,7.3
2012-01-04,7.3,7.3,7.3,7.3,0,7.3
2012-01-05,7.3,7.3,7.3,7.3,0,7.3
2012-01-06,7.3,7.3,7.3,7.3,0,7.3
2012-01-09,7.3,7.3,7.3,7.3,0,7.3
2012-01-10,7.3,7.3,7.3,7.3,0,7.3
2012-01-11,7.3,7.3,7.3,7.3,0,7.3
2012-01-12,7.3,7.3,7.3,7.3,0,7.3
2012-01-13,7.3,7.3,7.3,7.3,0,7.3
2012-01-16,7.3,7.3,7.3,7.3,0,7.3
2012-01-17,7.3,7.3,7.3,7.3,0,7.3
2012-01-18,7.3,7.3,7.3,7.3,0,7.3
2012-01-19,7.3,7.3,7.3,7.3,0,7.3
2012-01-20,7.3,7.3,7.3,7.3,0,7.3
2012-01-23,7.3,7.3,7.3,7.3,0,7.3
2012-01-24,7.3,7.3,7.3,7.3,0,7.3
2012-01-25,7.3,7.3,7.3,7.3,0,7.3
2012-01-26,7.3,7.3,7.3,7.3,0,7.3
2012-01-27,7.3,7.3,7.3,7.3,0,7.3
2012-01-30,7.3,7.3,7.3,7.3,0,7.3
2012-01-31,7.3,7.3,7.3,7.3,0,7.3
2012-02-01,7.3,7.3,7.3,7.3,0,7.3
2012-02-02,7.3,7.3,7.3,7.3,0,7.3
2012-02-03,7.3,7.3,7.3,7.3,0,7.3
2012-02-06,7.3,7.3,7.3,7.3,0,7.3
2012-02-07,7.3,7.3,7.3,7.3,0,7.3
2012-02-08,7.3,7.3,7.3,7.3,0,7.3
2012-02-09,7.3,7.3,7.3,7.3,0,7.3
2012-02-10,7.3,7.3,7.3,7.3,0,7.3
2012-02-13,7.3,7.3,7.3,7.3,0,7.3
2012-02-14,7.3,7.3,7.3,7.3,0,7.3
2012-02-15,7.3,7.3,7.3,7.3,0,7.3
2012-02-16,7.3,7.3,7.3,7.3,0,7.3
2012-02-17,7.3,7.3,7.3,7.3,0,7.3
2012-02-20,7.3,7.3,7.3,7.3,0,7.3
2012-02-21,7.3,7.3,7.3,7.3,0,7.3
2012-02-22,7.3,7.3,7.3,7.3,0,7.3
2012-02-23,7.3,7.3,7.3,7.3,0,7.3
2012-02-24,7.3,7.3,7.3,7.3,0,7.3
2012-02-27,7.3,7.3,7.3,7.3,0,7.3
2012-02-28,7.3,7.3,7.3,7.3,0,7.3
2012-02-29,7.3,7.3,7.3,7.3,0,7.3
2012-03-01,7.3,7.3,7.3,7.3,0,7.3
2012-03-02,7.3,7.3,7.3,7.3,0,7.3
2012-03-05,7.3,7.3,7.3,7.3,0,7.3
2012-03-06,7.3,7.3,7.3,7.3,0,7.3
2012-03-07,7.3,7.3,7.3,7.3,0,7.3
2012-03-08,7.3,7.3,7.3,7.3,0,7.3
2012-03-09,7.3,7.3,7.3,7.3,0,7.3
2012-03-12,7.3,7.3,7.3,7.3,0,7.3
2012-03-13,7.3,7.3,7.3,7.3,0,7.3
2012-03-14,7.3,7.3,7.3,7.3,0,7.3
2012-03-15,7.3,7.3,7.3,7.3,0,7.3
2012-03-16,7.3,7.3,7.3,7.3,0,7.3
2012-03-19,7.3,7.3,7.3,7.3,0,7.3
2012-03-20,7.3,7.3,7.3,7.3,0,7.3
2012-03-21,7.3,7.3,7.3,7.3,0,7.3
2012-03-22,7.3,7.3,7.3,7.3,0,7.3
2012-03-23,7.3,7.3,7.3,7.3,0,7.3
2012-03-26,7.3,7.3,7.3,7.3,0,7.3
2012-03-27,7.3,7.3,7.3,7.3,0,7.3
2012-03-28,7.3,7.3,7.3,7.3,0,7.3
2012-03-29,7.3,7.3,7.3,7.3,0,7.3
2012-03-30,7.3,7.3,7.3,7.3,0,7.3
2012-04-02,7.3,7.3,7.3,7.3,0,7.3
2012-04-03,7.3,7.3,7.3,7.3,0,7.3
2012-04-04,7.3,7.3,7.3,7.3,0,7.3
